id,title,estimate_label,true_label,score
383386,murdochs bid for time warner rejected,Businness,Businness,1
352807,rescuers close in on 3 trapped honduran miners 8 missing,Businness,Businness,1
106299,johnny depp  johnny depp served with legal papers at film premiere  report,Economy,Economy,1
256199,apple prepping move into smart home connectivity,Technology&Science,Technology&Science,1
43325,ripped first look dwayne johnson as brett ratners hercules,Economy,Economy,1
111292,women find their place at this passover seder,Economy,Economy,1
138648,new canaan religious services,Economy,Economy,1
343922,europe bank scrutiny proxy guide bnp rises compliance,Businness,Businness,1
284219,how to train your dragon 2′  Ewhat did you think,Economy,Economy,1
231365,ebay client info stolen,Technology&Science,Technology&Science,1
148873,valeant ceo breaks the mold in building drug empire,Businness,Businness,1
350775,beyonce pharrell win at bet awards,Economy,Economy,1
58401,scandal recap youre nothing but the help,Economy,Economy,1
194799,video of the day see seth rogen and zac efron in drag,Economy,Economy,1
105444,marquez grabs pole for americas grand prix,Technology&Science,Technology&Science,1
190645,some mangos sold in new jersey recalled,Health,Health,1
129159,ford motor company nysef  Eford mustang celebrates 50th birthday with  ,Technology&Science,Technology&Science,1
174226,apple samsung patent battle coming to a close,Technology&Science,Technology&Science,1
231130,samsung galaxy note 4 specs leak 57inch qhd 2k display in the works for  ,Technology&Science,Technology&Science,1
409176,vacation alert flesheating ocean bacteria vibrio vulnificus hospitalizes 32  ,Health,Health,1
400133,new york second in nation for chikungunya,Health,Health,1
40390,xmen days of future past  Ecan humans actually mutate to have superhuman  ,Economy,Economy,1
45370,minecraft for oculus rift cancelled in wake of facebook deal,Technology&Science,Technology&Science,1
190425,artist of the week lana del rey,Economy,Economy,1
347729,health ministers meet in accra on ebola,Health,Health,1
94452,studios sue defunct website for infringement,Economy,Economy,1
313105,gary oldman defends mel gibson describes hollywood as run by jews,Economy,Economy,1
1141,elephants can gauge threat from human voices study finds,Health,Technology&Science,0
49798,new to county health rankings commuting,Health,Health,1
252394,europes political earthquake far right win in france shakes established parties,Businness,Businness,1
204465,japan march current account surplus less than expected us114b,Businness,Businness,1
43637,air pollution claims millions of victims worldwide,Technology&Science,Health,0
117581,oh hell yes says ottawa man about blood moon,Technology&Science,Technology&Science,1
132216,bp crisis manager traded on inside oil spill info sec says,Businness,Businness,1
169579,beyonce and jay z announce joint us tour,Economy,Economy,1
373378,pamela anderson files for divorce from rick soloman,Economy,Economy,1
418969,irreversible damage from climate change seen in leaked un paper,Technology&Science,Technology&Science,1
281714,hail hurts crops but not enough to lift prices,Businness,Businness,1
174432,lg unveiling its next flagship on may 27th,Technology&Science,Technology&Science,1
356015,cdc report highlights floridas effort to combat pill mills,Health,Health,1
10143,the pristine fossils of dinosaur found in alaska,Technology&Science,Technology&Science,1
3729,former wwe diva stacy keibler marries in secret ceremony to jared pobre,Economy,Economy,1
80560,why maryland chose connecticuts model for health exchange overhaul,Businness,Businness,1
376238,federal drug chief visits roanoke,Health,Health,1
26400,eminem and rihanna announce tour pamela anderson worried about sex  ,Economy,Economy,1
209902,bradley coopers exwife slams him in book,Economy,Economy,1
207094,expectant moms at higher risk of car accidents canadian study warns,Health,Health,1
142361,do you feel that your personal information is safe,Technology&Science,Businness,0
26708,belle knox strip club photos holy nsfw in nyc,Economy,Economy,1
21645,sony project morpheus virtualreality headset will take gamers into the  ,Technology&Science,Technology&Science,1
55915,autism starts prior to birth with brain cells according to research,Health,Health,1
199922,in the papers us plan to close pfizer tax loophole could scupper astra bid,Businness,Businness,1
172094,the worlds fastest animal is paratarsotomus macropalpis a tiny mite that beast  ,Technology&Science,Technology&Science,1
232435,amy purdy  derek hough our accomplishments are better than the dwts  ,Economy,Economy,1
142472,yen falls versus major peers after japans trade deficit widens,Businness,Businness,1
168788,game of thrones season 4 episode 4 recap oathkeeper,Economy,Economy,1
109300,mainecare opioid restrictions seen to sharply cut painkiller abuse,Health,Health,1
211702,firing of top ny times editor jill abramson sparks fury among women journalists,Economy,Businness,0
103576,download free passes for transcendence in baltimore or dc,Economy,Economy,1
361758,google censorship a slippery slope,Technology&Science,Technology&Science,1
192679,samsung galaxy s5 mini new leak confirms specs,Technology&Science,Technology&Science,1
271465,john green the fault in our stars film is true to the book,Economy,Economy,1
245542,treasury dept claims no knowledge of ignition switch issues,Businness,Technology&Science,0
201568,when will i start feeling like a mom,Economy,Economy,1
36952,game of thrones author gives lucky fan fullsize replica of iron throne,Economy,Economy,1
22605,glee turns 100 with homage to the past,Economy,Economy,1
20354,too many patients are getting unnecessary brain scans,Health,Health,1
374949,insane clown posse lawsuit against fbi dismissed,Economy,Economy,1
103882,holy week services planned throughout north shore keeping the faith,Economy,Economy,1
51597,office for ipad is here and its free mostly,Technology&Science,Businness,0
18363,honda recalls nearly 900000 odyssey vans in us for fire risk,Technology&Science,Technology&Science,1
19556,brittany kerr jason aldeans mistress dating him after cheating scandal,Economy,Economy,1
286001,worlds largest ocean may lie below the ocean floor,Technology&Science,Technology&Science,1
300344,update 3us radio deejay shaggy voice casey kasem dead at 82,Economy,Economy,1
42372,google now cards land on chrome desktops and notebooks,Technology&Science,Technology&Science,1
121935,tonight the blood moon,Technology&Science,Technology&Science,1
170123,your family is priority number one taking care of your health  ,Health,Health,1
386307,aidsrelated deaths and new hiv infections fall by third in decade un,Health,Health,1
